Date,Close,High,Low,Open,Volume,Returns,RSI_14,EMA_21,ATR_14,MACD,MACD_Signal,OBV,BB_Upper,BB_Lower,Target
2010-02-02,1103.3199462890625,1104.72998046875,1087.9599609375,1090.050048828125,4749540000,0.01297294837718499,40.053185625222085,1113.0302731695929,17.709978376116073,-13.085461935384046,-9.527559248116814,7361210000.0,1172.407574160921,1068.3494204679853,0
2010-02-03,1097.280029296875,1102.719970703125,1093.969970703125,1100.6700439453125,4285450000,-0.00547431142933863,35.057991064989366,1111.5984328175275,17.290693010602677,-12.603392016971611,-10.142725801887774,3075760000.0,1170.8406176466792,1065.9923779587893,0
2010-02-04,1063.1099853515625,1097.25,1062.780029296875,1097.25,5859690000,-0.031140677888039425,27.92860047750152,1107.1903921388034,19.2828369140625,-14.807888982320492,-11.075758437974319,-2783930000.0,1171.8180197554295,1057.6119729203517,1
2010-02-05,1066.18994140625,1067.1300048828125,1044.5,1064.1199951171875,6438900000,0.002897118921960873,31.0216877053701,1103.463078435844,19.679983956473215,-16.120613597734746,-12.084729469926405,3654970000.0,1170.465503282732,1051.414489393049,0
2010-02-08,1056.739990234375,1071.199951171875,1056.510009765625,1065.510009765625,4089820000,-0.00886329049344714,23.921862129106287,1099.2155249629832,19.680698939732142,-17.71923310673901,-13.211630197288926,-434850000.0,1168.4621107811697,1044.593882871174,1
2010-02-09,1070.52001953125,1079.280029296875,1060.06005859375,1060.06005859375,5114260000,0.013040132316577413,31.33153985760366,1096.6068426510074,19.792131696428573,-17.67052260029095,-14.103408677889332,4679410000.0,1163.5553223195511,1041.8546752390425,0
2010-02-10,1068.1300048828125,1073.6700439453125,1059.3399658203125,1069.6800537109375,4251450000,-0.0022325735201887964,35.04668606708829,1094.018039217535,18.905709402901785,-17.621642060353224,-14.807055354382111,427960000.0,1159.8740462055957,1038.7269547709666,1
2010-02-11,1078.469970703125,1080.0400390625,1060.5899658203125,1067.0999755859375,4400870000,0.009680437561949251,45.4884682247265,1092.6045784434978,18.416434151785715,-16.557688329034136,-15.157181949312518,4828830000.0,1153.037275920514,1038.842716755267,0
2010-02-12,1075.510009765625,1077.81005859375,1062.969970703125,1075.949951171875,4160680000,-0.002744592819371894,42.67710869047371,1091.0505267455094,18.722865513392858,-15.771536980946166,-15.280052955639249,668150000.0,1144.3621378686369,1040.222859689957,1
2010-02-16,1094.8699951171875,1095.6700439453125,1079.1300048828125,1079.1300048828125,4080770000,0.01800074864554846,50.8438371626213,1091.3977511429346,19.175013950892858,-13.431487526553838,-14.910339869822167,4748920000.0,1138.110189697781,1042.358804442844,1
2010-02-17,1099.510009765625,1101.030029296875,1094.719970703125,1096.1400146484375,4259230000,0.0042379594555796984,50.630924156174615,1092.1352291995427,18.454302106584823,-11.074906443304826,-14.143253184518699,9008150000.0,1126.75403408944,1048.6429629808724,1
2010-02-18,1106.75,1108.239990234375,1097.47998046875,1099.030029296875,3878620000,0.006584742448973557,57.23495100475049,1093.463844726857,17.668587820870535,-8.524823394218856,-13.019567226458731,12886770000.0,1118.6595371567655,1053.6084560072968,1
2010-02-19,1109.1700439453125,1112.4200439453125,1100.800048828125,1105.489990234375,3944280000,0.002186622042297248,62.1456351936574,1094.8916810194437,16.722874232700892,-6.236694156200883,-11.662992612407162,16831050000.0,1116.9966423685912,1054.5403571431277,0
2010-02-22,1108.010009765625,1112.2900390625,1105.3800048828125,1110.0,3814440000,-0.0010458578339902491,57.174468192243744,1096.0842563600056,16.108590262276785,-4.46546521019377,-10.223487131964484,13016610000.0,1119.2766253533791,1053.8853741583398,0
2010-02-23,1094.5999755859375,1108.5799560546875,1092.1800537109375,1107.489990234375,4521050000,-0.012102809596931441,46.65747175550354,1095.9493217441811,16.0821533203125,-4.096608047910422,-8.998111315153672,8495560000.0,1119.038737678803,1053.9052564618219,1
2010-02-24,1105.239990234375,1106.4200439453125,1095.5,1095.8900146484375,4168360000,0.00972045942422195,52.947254076468674,1096.7939279705624,16.258588518415177,-2.912156304389555,-7.780920313000848,12663920000.0,1120.6831226657268,1053.5678661038046,0
